index,name,address,description,latitude,longitude,level
0,화랑설화마을,경상북도 영천시 금호읍 거여로 426-5 화랑설화마을,",",0.0,0.0,4
1,공산폭포,경상북도 영천시 신녕면 치산리,",",0.0,0.0,4
2,별빛마을,경상북도 영천시 화북면 정각리,",",37.4069192,126.73098169700576,4
3,선원마을,경상북도 영천시 임고면 신선로 688,",",0.0,0.0,4
4,은해사 거조암 영산전,경상북도 영천시 청통면 신원리 622,",",0.0,0.0,4
5,만불사(萬佛寺),경상북도 영천시 북안면 고지리 산46-1,",",0.0,0.0,4
6,영천시보현산천문과학관,경상북도 영천시 화북면 별빛로 681-32,",",0.0,0.0,4
7,보현산천문대,경상북도 영천시 화북면 정각길 475,",",36.16406975,128.9766820420578,4
8,시안미술관,경상북도 영천시 화산면 가래실로 364,유럽풍 학교 건물과 정원이 현대 한국미술 작품을 전시하는 공간으로 바뀌었습니다.,0.0,0.0,4
9,치산계곡,경상북도 영천시 신녕면 치산리,",",0.0,0.0,4
10,임고강변공원,"경상북도 영천시 임고면 Deogyeon-ri, 132-8",",",36.0465483,128.9919793,4
11,영천전투메모리얼파크,"15 Hogugyeongung-gil, 영천시 경상북도",",",0.0,0.0,4
12,방가산 돌탑공원(Banggasan Pagoda Park),"15 Hogugyeongung-gil, 영천시 경상북도",",",0.0,0.0,4
13,영천 조양각,경북 영천시 문화원길 6 (창구동),",",35.9669662,128.9328783,4
