index,name,address,description,latitude,longitude,level
0,영금정,강원도 속초시 동명동 영금정로 43,"암석 노두에 있는 화려한 해안가 정자로, 밤이면 조명이 켜지는 다리를 따라 갈 수 있습니다.",38.2118201,128.60147678569055,4
1,속초등대,강원도 속초시 영랑동 영금정로5길 8-28,가파른 계단을 타고 절벽 위 등대로 올라가면 동해와 설악산이 보입니다.,38.2136283,128.6001448,4
2,속초시립박물관,강원도 속초시 신흥2길 16,",",0.0,0.0,4
3,엑스포타워,강원도 속초시 조양동 엑스포로 75 1545-1,",",38.1915588,128.5833715,4
4,청초호 호수공원,강원도 속초시 교동 엑스포로 140,",",0.0,0.0,4
5,설악산 권금성,강원도 속초시 설악동 설악산국립공원,",",38.163732,128.4849601,4
6,보광사,강원도 속초시 동명동 579-2 KR,",",35.1799783,129.1956999,4
7,청초호유원지,강원도 속초시 조양동 1544-2,",",0.0,0.0,4
8,아바이마을,속초시 청호동 550-14,",",38.2029172,128.5937267,4
9,신흥사,강원도 속초시 설악동 설악산로 1137,하이킹이나 케이블카로 접근할 수 있는 산 경사면에 자리한 불교 사찰로 청동 불상이 있습니다.,38.1753764,128.4847028,4
10,속초해변,강원도 속초시 조양동 해오름로 186-1,",",38.1879995,128.6056868514964,4
11,설악산 케이블카,강원도 속초시 설악동 설악산로 1137,케이블카에 탑승해 고려 시대 산성 유적지에 도착하면 그림처럼 아름다운 전망을 감상할 수 있습니다.,0.0,0.0,4
12,설악산국립공원,강원도 속초시 설악산로 833 KR,폭포가 있는 대규모 산악 국립공원으로 다양한 동식물이 있으며 하이킹을 즐길 수 있습니다.,0.0,0.0,4
13,한화리조트 설악워터피아,강원도 속초시 미시령로2983번길 111,"드넓은 스파로 실내외 사우나, 따뜻한 광천수 수영장, 워터슬라이드, 파도풀이 있습니다.",0.0,0.0,4
